,h3_polyfill,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,per_ocu_tot,denue_tot,ratio,per_ocu_95,ratio_95
310,8948a20c4a7ffff,19006,19,006,Apodaca,406,3,0.007389162561576354,0,1
311,8948a20f0c7ffff,19006,19,006,Apodaca,240,40,0.16666666666666666,0,0
312,8948a20c4c3ffff,19006,19,006,Apodaca,150,5,0.03333333333333333,0,0
313,8948a20e26fffff,19006,19,006,Apodaca,866,29,0.03348729792147806,0,0
314,8948a20ee57ffff,19006,19,006,Apodaca,160,26,0.1625,0,0
315,8948a20d093ffff,19006,19,006,Apodaca,1242,8,0.00644122383252818,0,1
316,8948a20e213ffff,19006,19,006,Apodaca,95,4,0.042105263157894736,0,0
317,8948a20c483ffff,19006,19,006,Apodaca,20,4,0.2,0,0
318,8948a20c44fffff,19006,19,006,Apodaca,545,8,0.014678899082568808,0,0
319,8948a20ea17ffff,19006,19,006,Apodaca,105,11,0.10476190476190476,0,0
320,8948a20e203ffff,19006,19,006,Apodaca,570,12,0.021052631578947368,0,0
321,8948a20f03bffff,19006,19,006,Apodaca,235,20,0.0851063829787234,0,0
322,8948a20e867ffff,19006,19,006,Apodaca,100,10,0.1,0,0
323,8948a20c163ffff,19006,19,006,Apodaca,275,15,0.05454545454545454,0,0
324,8948a20c53bffff,19006,19,006,Apodaca,365,12,0.03287671232876712,0,0
325,8948a20d487ffff,19006,19,006,Apodaca,255,41,0.1607843137254902,0,0
326,8948a20c1c7ffff,19006,19,006,Apodaca,80,16,0.2,0,0
327,8948a20e3d3ffff,19006,19,006,Apodaca,856,17,0.01985981308411215,0,0
328,8948a20c637ffff,19006,19,006,Apodaca,2371,117,0.04934626739772248,1,0
329,8948a20d4a7ffff,19006,19,006,Apodaca,436,4,0.009174311926605505,0,1
330,8948a20e8d3ffff,19006,19,006,Apodaca,455,68,0.14945054945054945,0,0
331,8948a20f1d7ffff,19006,19,006,Apodaca,5,1,0.2,0,0
332,8948a20e803ffff,19006,19,006,Apodaca,390,47,0.12051282051282051,0,0
